,origins,manufacturing_places,purchase_places
259,France,France,France
272,Québec,Brossard Québec,Brossard Québec
279,France,United Kingdom,"Brent,UK"
284,Québec,Brossard Québec,Brossard Québec
295,Québec,"Brossard,Québec","Brossard,Québec"
307,Québec,"Brossard,Québec","Brossard,Québec"
308,Québec,Brossard Québec,Brossard Québec
316,,France,"Lyon,France"
363,"Québec,Canada","Brossars,Québec","Brossard,Québec"
423,,United Kingdom,"Liverpool,United Kingdom"
424,,United Kingdom,"Liverpool,United Kingdom"
542,,"Las Ventas de Retamosa,Toledo (provincia),Castilla-La Mancha,España","Madrid,España"
552,,"Saint Yrieix,France","Lyon,France,Limoges"
591,Germany,Germany,Germany
592,Germany,Germany,Germany
603,Germany,Germany,Germany
609,,France,"France,Nantes"
613,,"France,Limousin,87500,Saint-Yrieux","Nantes,France"
635,,Germany,Germany
636,Germany,Germany,Germany
638,,"France,87500","France,Nantes"
640,Germany,Germany,Germany
644,,"87500,France","Nantes,France"
647,Germany,Germany,Germany
842,,"Pays-Bas,Netherlands","Liverpool,United Kingdom"
845,,Royaume-Uni,"Royaume-Uni,France,Paris,Londres"
846,,Royaume-Uni,"Royaume-Uni,Londres"
847,,Royaume-Uni,"Royaume-Uni,France"
849,,Royaume-Uni,"Royaume-Uni,Londres"
851,,"Royaume-Uni,Ecosse",France
852,,Royaume Uni,France
863,,Belgique,"France,Trignac"
918,,Royaume-Uni,"France,Paris,Royaume-Uni"
924,,Ireland,"Liverpool,United Kingdom"
1006,Germany,Germany,Germany
1030,,"France,87500","France,Nantes"
1035,,Royaume-Uni,"France,Paris"
1045,,"Écosse,Royaume-Uni",France
1060,ESTADOS UNIDOS AMERICANOS,ESTADOS UNIDOS AMERICANOS,México
1063,Royaume-Uni,Royaume-Uni,"France,Paris"
1066,,"Écosse,Royaume-Uni","Royaume-Uni,France"
1073,,Royaume-Uni,Royaume-Uni
1085,Royaume-Uni,Royaume-Uni,"France,Paris"
1087,,Royaume-Uni,"France,Royaume-Uni"
1088,,"Écosse,Royaume-Uni","France,Royaume-Uni"
1110,Germany,Germany,Germany
1123,,Royaume-Uni,Royaume-Uni
1129,,Royaume-Uni,"Royaume-Uni,Londres"
1140,,France,Marseille
1148,United Kingdom,United Kingdom,"United Kingdom,Liverpool"
1162,Vietnam,Vietnam,"France,Royaume-Uni"
1193,,USA,"Chicago,Illinois,USA"
1195,?,30800 st Gilles,France
1197,,Royaume-Uni,"Royaume-Uni,Londres"
1214,,"Écosse,Royaume-Uni","France,Royaume-Uni"
1227,France,France,France
1238,,Royaume-Uni,"France,Royaume-Uni"
1267,,United Kingdom,"london,uk"
1331,,Royaume-Uni,"Royaume-Uni,Londres"
1337,,Royaume-Uni,"Royaume-Uni,Londres"
1339,,Royaume-Uni,"Royaume-Uni,Londres"
1369,"Europe,Royaume-Uni",Royaume-Uni,France
1376,Royaume-Uni,Royaume-Uni,"France,Paris"
1382,,UK,UK
1415,Royaume-Uni,"Royaume-Uni,Irelande","France,Paris"
1420,,Royaume-Uni,"France,Royaume-Uni"
1467,"Royaume-Uni,Hors Royaume-Uni",Royaume-Uni,"Royaume-Uni,France"
1494,,"California,USA","Northville,Michigan,United States"
1567,,Royaume-Uni,"France,Royaume-Uni"
1660,Royaume-Uni,Royaume-Uni,"Royaume-Uni,Londres"
1667,Italie,Italie,"France,Paris"
1686,"Espagne,Royaume-Uni",Royaume-Uni,France
1845,,Angleterre,France
2050,Royaume-Uni,Royaume-Uni,"France,Royaume-Uni"
2174,,Canada,"Chicago,Illinois,USA"
2192,Grande Bretagne,Royaume-Uni,"Paris,France"
2242,Madagascar,Italie,"Royaume-Uni,France"
2264,,Royaume-Uni,"Royaume-Uni,France,Paris,Londres"
2266,México,México,Walmart
2532,,The Hershey Company,"Egypt,USA"
2646,United States,Cincinnati,United States
2866,,United States,"Virginia Beach,Virginia,United States"
4303,United States,United States,"Virginia Beach,Virginia,United States"
4711,United States,United States,"Virginia Beach,Virginia,United States"
5631,Canada,Canada,New Albany IN USA
7567,TAIWAN,TAIWAN,MEXICO
7724,,Japan,"Cabriès,France"
8248,Estados Unidos,"San Nicolas de los Garza, Nuevo León",Walmart
8253,CALIFORNIA,SAN FRANCISCO CALIFORNIA,SUPERMERCADOS
8339,Estero,Italia,Carmagnola (TO)
8352,Estados Unidos,Estado de México,Walmart
8395,,"Avery Island, Luisiana, Estados Unidos","Madrid,España"
10630,"Atlantique Nord-Ouest,Canada",Royaume-Uni,France
10791,,"France,87500","France,Nantes"
10827,,"Eden Prairie,Minnesota,USA","Oakland Park,Florida,USA"
10948,,Royaume-Uni,"France,Paris"
10949,,Royaume-Uni,"France,Paris"
11280,Estados unidos,"Plymouth,Wisconsin",Walmart
11315,,Belgique,"Royaume-Uni,Londres,Angleterre"
11431,,"NY,USA","Northville,Michigan,United States"
11495,,Royaume-Uni,"Paris,France"
11530,,Royaume-Uni,Royaume-Uni
11534,"Britain,British Chicken",United Kingdom,"London,England"
11698,,United Kingdom,"Liverpool,United Kingdom"
11699,,United Kingdom,"Liverpool,United Kingdom"
11700,,United Kingdom,"Liverpool,United Kingdom"
11705,,Italy,London UK
11721,Italy,Italy,"London,UK"
11773,,France,"Liverpool,United Kingdom"
11791,"Fougerolles,France",France,"Liverpool,United Kingdom"
11826,MEXICO,MEXICO,MEXICO
11853,mexico,United Kingdom,london
11930,"Ancaster,Ontario,canada","Ancaster,Ontario","Candiac,Québec"
11964,,"Barcelone,Espagne","Lyon,France"
12070,United States,United States,"NSW,Australia"
12071,United States,United States,"NSW,Australia"
12287,México,México,México
12288,México,México,México
12544,,United Kingdom,Liverpool
12578,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
12580,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
12583,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
12595,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
12596,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
12606,,USA,"Los Angeles,California,USA,WAL-MART MÉXICO"
12609,ESTADOS UNIDOS,ESTADOS UNIDOS,WAL-MART MÉXICO
12619,E.U.A,ESTADOS UNIDOS,WAL-MART MÉXICO
12623,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
12626,,U.S.A.,"France,Trignac,Nantes"
12627,,USA,"Paris,France"
12629,,USA,"Paris,France"
12630,,USA,"Paris,France"
12645,,USA,Canada
12673,,Luxembourg,"France,Trignac"
12905,,"York,Royaume-Uni,Angleterre","France,Royaume-Uni"
12916,Royaume-Uni,Royaume-Uni,"Royaume-Uni,Londres"
13137,,Royaume-Uni,"Royaume-Uni,France"
13142,MEXICO,MEXICO,"MEXICO,WALMART"
13152,,UK,UK
13193,México,Ciudad de México,Walmart
13681,États-Unis,"Portland,  OR,  USA",Polynésie française
14140,,United Kingdom,"Southampton,United Kingdom"
14293,,United Kingdom,"Liverpool,United Kingdom"
14450,,Royaume-Uni,"Royaume-Uni,Londres"
14452,,china,london
14472,United Kingdom,United Kingdom,"United Kingdom,France"
14556,Estados Unidos de América,Estados Unidos de América,México
14565,Estados Unidos de América,Estados Unidos de América,México
14569,Estados Unidos de América,Estados Unidos de América,México
14585,MEXICO,MEXICO,MEXICO
14616,,USA,México
14617,,USA,México
14618,USA,USA,México
14629,,USA,México
14647,Estados unidos,Estado de México,Walmart
14664,Estados Unidos de América,Estados Unidos de América,México
14673,Estados Unidos de América,Estados Unidos de América,México
14674,Estados Unidos de América,Estados Unidos de América,México
14675,Estados Unidos de América,Estados Unidos de América,México
14677,Estados Unidos de América,Estados Unidos de América,México
14689,Estados Unidos,Estado de México,Walmart
14690,,"Minneapolis, USA",États unies d'Amérique
14718,Estados Unidos de América,Estados Unidos de América,México
14732,USA,USA,México
14733,USA,USA,México
14734,USA,USA,México
14735,,USA,México
14736,USA,USA,México
14737,USA,USA,México
14741,Estado Unidos de América,Estado Unidos de América,México
14743,Estados Unidos de América,Estados Unidos de América,México
14797,,"île de Mull,Écosse,Royaume-Uni","France,Royaume-Uni"
14807,,Royaume-Uni,"Paris,France"
14826,,Thailand,"Canberra,Australia"
14829,Thaïlande,Thailand,"Paris XIII,Paris,France,Canberra,Australia"
14838,,"Thaïlande,Thailand","Lyon,France,Canberra,Australia"
14859,,Thaïlande,"Lyon,France"
14887,,Thaïlande,"Paris,France"
14925,Thaïlande,Thaïlande,"Saint Martin d'Hères,France"
14928,Thailand,Thailand,"Sydney,NSW,Australia"
15159,,United Kingdom,"london,united kingdom"
15259,,"France,87500","France,Nantes"
15260,,Holland,United Kingdom
15321,,Belgique,France
15341,,United Kingdom,"Brent,United Kingdom"
15351,Royaume-Uni,Royaume-Uni,"Royaume-Uni,France"
15396,,Israel,"london,united kingdom"
15419,Estados Unidos,Ciudad de México,Walmart
15421,Estados Unidos,Ciudad de México,walmart
15429,Estados Unidos,Ciudad de México,Walmart
15725,USA,United Kingdom,"Liverpool,United Kingdom"
15910,México,México,México
15953,more than one country,United Kingdom,"Liverpool,United Kingdom"
15954,United Kingdom,United Kingdom,"Kilburn,London,UK"
15955,,saint yrieix,France
15958,United Kingdom,United Kingdom,"Liverpool,United Kingdom"
15986,,United Kingdom,"Nottingham,UK"
15992,United Kingdom,United Kingdom,"Liverpool,United Kingdom"
16171,,"Royaume-Uni,Écosse,Edimbourg","France,Paris,Royaume-Uni"
16172,,"Écosse,Royaume-Uni","France,Paris,Londres,Royaume-Uni"
16254,Canada,canada,Canada
16300,Estados Unidos,México,Walmart
16301,Estados Unidos,México,Walmart
16319,Costa Rica,Pays-Bas,"Royaume-Uni,Londres,France,Paris"
17184,,Taïwan,"France,Paris"
17185,,Taïwan,"Toulouse,France"
17207,,United Kingdom,United Kingdom
17263,UK,UK,"Kilburn,London,UK"
17655,México,Ciudad de México,Walmart
17656,México,ciudad de México,Walmart
17657,México,Ciudad de México,Walmart
17658,México,Ciudad de México,Walmart
17659,México,Ciudad de México,Walmart
17662,México,Ciudad de México,Walmart
17663,Grande-Bretagne,"Écosse,Royaume-Uni,Grande-Bretagne","Écosse,Royaume-Uni"
17742,,USA,Deutschland
17841,,Canada,"San Francisco,California,USA"
17843,,Canada,"Mountain View, California, USA"
17844,,Canada,"Mountain View, California, USA"
17845,,Canada,"San Francisco,California,USA"
17903,,Royaume-Uni,"Paris,France"
17958,"Royaume-Uni,Union Européenne",Royaume-Uni,"Royaume-Uni,France"
18012,United Kingdom,United Kingdom,United Kingdom
18151,"China,Kenya",Canada,"Lake Bluff,Illinois,USA"
18382,,United Kingdom,"Paris,France"
18741,México,México,Wal-Mart México
18743,México,México,Walmart
18744,Ciudad de México,México,Wal-Mart México
18745,Ciudad de México,México,Wal-Mart
18867,EUA,EUA,MEXICO
18943,MEXICO,MEXICO,MEXICO
19066,,Switzerland,"San Francisco,California,USA"
19069,,Switzerland,"San Francisco,California,USA"
19666,USA,USA,"Grass Valley,California,USA"
19669,,USA,"San Francisco,California,USA"
21099,,"Madeleines BIJOU,Les Lacs 87500 St-Yrieix la Perche France",France Lyon
21159,"Pays-Bas,Royaume-Uni",Royaume-Uni,"Paris,France,Royaume-Uni,Londres"
21230,"Toledo,Ohio,United States","Ohio,USA","Maryland,USA"
21233,"Ohio,USA","Toledo,Ohio,USA","Maryland,USA"
21386,,"Saint Yrieix,France",France
21863,Royaume-Uni,Royaume-Uni,"France,Royaume-Uni"
21945,,"07000 Privas,France","Orly,France,Paris,Le Brusc (83140)"
22021,,"Ohio,United States","Norfolk,Virginia,United States"
22038,,"USA,United States","San Francisco,California,USA,United States"
22280,USA,USA,México
22444,Filipinas,USA,Mexico
22610,,made in USA,United States
23110,Germany,Germany,Germany
23331,,Italien,Deutschland
23334,Kenya,Espana,Orzinuovi
23368,,USA,"Punaauia,French Polynesia"
23372,Italie,Italie,France
23628,,Italy,"San Francisco,California,USA"
24153,MEXICO,MEXICO,"MEXICO,WALMART"
24156,MEXICO,MEXICO,MEXICO
24172,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
24173,California,USA,"San Francisco,California,USA"
24200,,"Crèmerie Soignon,Poitou-Charente,France","Liverpool,United Kingdom"
24203,,United States,United States
24355,,Italie,France
24397,Union européenne,uk,France
24766,,Royaume-Uni,France
25024,"Taiwan,Imported Unknown",Taiwan,"Sydney,NSW,Australia"
25027,Taiwan,Taiwan,"Sydney,NSW,Australia"
25030,Royaume-Uni,Royaume-Uni,"Royaume-Uni,France"
25031,Madagascar,USA,"Liverpool,United Kingdom"
25269,Royaume-Uni,Chester,France
25313,,Royaume-Uni,"Paris,France"
25508,,"Royaume-Uni,Écosse",Royaume-Uni
25793,Royaume-Uni,Royaume-Uni,"France,Paris"
25835,MEXICO,MEXICO,MEXICO
26114,,Malaisie,"France,Paris"
26431,"Alaska,É.U.-A","Seatle,WA,USA","Brossard,Québea"
26438,Royaume-Uni,Royaume-Uni,"Royaume-Uni,Londres"
26450,LOS ANGELES CALIFORNIA,ESTADOS UNIDOS,"MEXICO,WALMART"
26681,USA,USA,Saint Kitts and Nevis
26706,Usa,"Plano,  Texas",USA
27883,Italie,Italie,Canada
27898,EUA,EUA,MEXICO
27899,EUA,EUA,MEXICO
27901,EUA,EUA,MEXICO
27902,EUA,EUA,MEXICO
28129,,Belgique,"Courrières,France"
28242,,Italie,Saran
29250,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
29730,"Scotland,United Kingdom",United Kingdom,"Liverpool,United Kingdom"
30286,MEXICO,MEXICO,MEXICO
30519,,Allemagne,Belgique
30887,,United Kingdom,United Kingdom
30900,Oceano Pacifico,Spagna,Brescia
30942,Royaume-Uni,Royaume-Uni,"Paris,France"
31039,Royaume-Uni,Royaume-Uni,"Royaume-Uni,Londres"
31043,Brésil,Italie,France
31063,ESTADOS UNIDOS AMERICANOS,ESTADOS UNIDOS AMERICANOS,México
31149,México,Estado de México,Walmart
31150,México,Estado de México,Walmart
31549,Angleterre,Royaume-Uni,"France,Paris"
31817,Thailand,Thailand,United Arab Emirates
32278,"United Kingdom,Royaume-Uni",Royaume-Uni,"France,Paris"
32624,,Royaume-Uni,"France,Paris"
32708,,USA,France
32748,,États-Unis,"France,Trignac"
32849,,États-Unis,"Noyelles-Godault,France"
32873,,"États-Unis d'Amérique,États-Unis","Noyelles-Godault,France"
32890,,États-Unis,Paris
33064,"Arden Hilss,Minnesota",Minnesota USA,New York
33175,México,Veracruz,Walmart
33429,Calorina,Calfornia,Washington DC
33707,EUA,EUA,MEXICO
33709,EUA,EUA,MEXICO
33711,EUA,EUA,MEXICO
33712,EUA,EUA,MEXICO
35353,,Royaume-Uni,"Royaume-Uni,Londres"
35417,,Italy,"Liverpool,United Kingdom"
35563,EUA,EUA,MEXICO
35566,EUA,EUA,MEXICO
35596,Royaume-Uni,Royaume-Uni,"Royaume-Uni,Londres"
35800,,Royaume-Uni,"Royaume-Uni,France"
35803,Trinité-et-Tobago,Trinité et Tobago,France
35861,,United Kingdom,"Liverpool,United Kingdom"
36314,México,México,Walmart
36315,México,"Estado de México,México",Walmart
36316,México,México,Walmart
36317,México,México,Walmart
36318,Mexico,Estado de Mexico,Walmart
36320,Mexico,Estado de Mexico,Walmart
36321,Estado de México,Estado de México,Walmart
36322,Mexico,México,México
36323,Mexico,"Estado de México,México",México
36324,México,México,México
36325,México,México,México
36326,México,"Estado de México,México",México
36327,Mexico,Estado de Mexico,México
36329,México,Estado de México,Walmart
36330,Mexico,"Estado de,Mexico",Walmart
36332,México,México,Walmart
36333,Estado de Mexico,Estado de Mexico,Walmart
38206,"Kenya,Rwanda,Afrique",Royaume-Uni,"France,Royaume-Uni"
38355,,France,"France,Paris"
38374,Germany,Germany,"NSW,Australia"
38391,Switzerland,Kilchberg,Canada
38404,France,France,Canada
38418,,United States,"San Francisco,California,USA"
38566,,Denmark,"Liverpool,United Kingdom"
38568,E.U.A.,E.U.A.,"Tiendas departamentales,México"
38721,,Denmark,"Liverpool,United Kingdom"
38732,MEXICO,MEXICO,MEXICO
38737,E.U.A.,E.U.A.,"Tiendas departamentales,México"
38880,"USA,Unknown Imported",USA,"NSW,Australia"
39135,"Royaume-Uni,Ecosse",Royaume-Uni,France
39190,USA,"Battle Creek,Michigan,USA","Midland,Michigan,USA"
39222,México,México,Walmart
39263,ESTADOS UNIDOS AMERICANOS,ESTADOS UNIDOS AMERICANOS,México
39266,ESTADOS UNIDOS AMÉRICANOS,ESTADOS UNIDOS AMERICANOS,MÉXICO
39272,ESTADOS UNIDOS AMERICANOS,ESTADOS UNIDOS AMERICANOS,México
39298,Estados Unidos,México,Walmart
39633,EXTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
39762,,Japan,"San Francisco, California, USA"
39839,Philippines,Philippines,"NSW,Australia"
39875,Philippines,"Westlake Village CA,California,USA","Pensacola,Florida"
40006,,"Walkers Shortbread Ltd,Aberlour on Spey,AB38 9PD,Scotland,United Kingdom,Écosse","United Kingdom,Edinburgh Airport"
40009,Écosse,"Écosse,Aberlour,Speyside,Royaume-Uni","Nantes,France"
40036,,Scotland,"Westminster,London,UK"
40044,,"Royaume-Uni,Écosse","France,Royaume-Uni"
40054,,Scotland,"Brent,London,UK,United Kingdom"
40071,,"Scotland,Écosse,Royaume-Uni","Brent,London,UK"
40094,,"Écosse,Royaume-Uni",Royaume-Uni
40144,,Canada,"San Francisco,California,USA"
40370,,Royaume-Uni,"France,Royaume-Uni"
40371,,Royaume-Uni,"France,Paris"
41055,,"Oregon, USA",United States
41059,U.S.A.,"Milwaukie,oregon,USA",Brossard
41092,Estados Unidos,"Oregon,Milwaukie.",México
41097,,Royaume-Uni,"Royaume-Uni,France"
41225,,"Croatia,Croatie","France,Paris"
41397,Espagne,Espagne,Canada
