code,product_name,stores,carbon-footprint_100g,nutrition-score-fr_100g,price_per_100g,store_currency
819377000120,châtaignes pelées et rôties cesares,Sami Fruits,300,0,0.635,EURO
2000000072530,Nestle Aguitas Manzana,"Walmart,Bodega Aurrera,Sams Club",0,0,,
2000000074609,Terrine de Chevreuil,"Sarl Ajm,Ajm",0.05,21,,
2000000074660,TERRINE AUX CHÂTAIGNES,"Ajm,Sarl Ajm",0.05,21,,
2000000205397,Baguette Millavoise 6 céréales,Super U,0,-2,,
22016119,"Migros, M Classic",Migros,199.7,4,,
22016140,Yogurt Mandarine,Migros,196.5,4,0.6,CHF
22016256,Yogourt Rhubarbe/Vanille,Migros,193.4,4,0.6,CHF
22139320,Ice Coffee,Migros,136,1,1.18,CHF
26038490,Cacahuètes grillées à sec,ALDI,0,20,0.453,CHF
3068320055008,Eau Minérale,"Carrefour,Monoprix",0,,0.026,EURO
3222471125113,Lardons Nature (2 barquettes),"Vival,Casino",945,20,1.327,EURO
3222471125120,Lardons Fumés (2 barquettes),Géant Casino,945,20,1.327,EURO
3222471358610,Cookies Tout Chocolat,Casino,305,22,2.025,EURO
3222471363676,Chocolat au lait Extra fin,Casino,655,24,0.82,EURO
3222471483602,Lait Écrémé,Géant,175,0,0.129,EURO
3222471516881,100 % Pur Jus Orange,Casino,130,2,0.159,EURO
3222471751039,"Cabillaud 100 % Filet, Surgelés (8 panés)",Géant,425,-1,2.289,EURO
3222472118800,Val d'Automne (28 % MG),Casino,1065,17,0.532,EURO
3222472185338,Riz long grain Camargue,Casino,545,-1,0.418,EURO
3222472262961,Pains au lait (x 10) aux pépites de chocolat au lait 350 g,Casino,325,14,0.689,EURO
3222472767947,Biscuits Matin Miel et Pépites de Chocolat,Casino,250,13,1.252,EURO
3222472775195,Oeufs frais datés du jour de ponte (x 6),Géant,8.4,-1,,
3222472788430,"Mini Knacks, Pur Porc (33 saucisses environ)",,835,19,1.238,EURO
3222472824398,"Huile d'olive vierge extra, extraite à froid",Géant,276,11,1.067,EURO
3222472921530,Emmental Français Est-Central IGP au lait cru (32 % MG) Grand Cru - label Rouge ,Casino,1275,11,,
3222472958451,Torti (Cuisson 3 min.),Vival,185,-3,,
3222473245147,Chips saveur poulet thym,Casino,340,11,1.069,EURO
3222473388165,Saucisses de Francfort,"Casino,Géant",825,20,1.061,EURO
3222473631186,"Lasagnes au saumon, Surgelées",Casino,430,2,0.697,EURO
3222473808946,Lasagnes au chèvre et aux épinards,"Spar,Casino",485,3,0.65,EURO
3222473960132,Pommes Dauphines,Spar,345,6,0.398,EURO
